current_price,days_before_departure,total_duration_minutes,stops,departure_month,departure_month_sin,departure_month_cos,future_price_change_percent,future_price
90.08,235,1669,1,1,0.0,1.0,-0.0253,90.06
327.24,147,1367,2,3,0.8660254037844386,0.5000000000000001,1.6881,332.77
476.35,301,323,0,8,-0.4999999999999997,-0.8660254037844388,3.8665,494.77
248.89,199,363,0,7,1.2246467991473532e-16,-1.0,5.624,262.89
259.75,162,987,0,2,0.49999999999999994,0.8660254037844387,2.1283,265.28
130.24,164,126,0,9,-0.8660254037844385,-0.5000000000000004,6.6196,138.86
379.48,83,1657,1,1,0.0,1.0,0.1247,379.96
82.01,33,1479,1,12,-0.5000000000000004,0.8660254037844384,3.3197,84.73
5000.0,202,1221,0,2,0.49999999999999994,0.8660254037844387,1.456,5072.8
841.36,324,1454,0,6,0.49999999999999994,-0.8660254037844387,5.3056,886.0
785.27,23,515,2,10,-1.0,-1.8369701987210297e-16,-2.0504,769.17
139.08,314,1328,0,7,1.2246467991473532e-16,-1.0,5.9742,147.38
3163.81,302,419,0,9,-0.8660254037844385,-0.5000000000000004,4.6237,3310.09
565.16,101,383,1,9,-0.8660254037844385,-0.5000000000000004,2.3098,578.21
296.14,231,579,1,12,-0.5000000000000004,0.8660254037844384,-1.4309,291.91
1610.24,60,1173,0,6,0.49999999999999994,-0.8660254037844387,5.0275,1691.2
258.25,277,1595,1,12,-0.5000000000000004,0.8660254037844384,4.7194,270.44
4398.02,256,1293,2,7,1.2246467991473532e-16,-1.0,1.5842,4467.69
89.08,129,402,0,11,-0.8660254037844386,0.5000000000000001,3.2906,92.01
2576.88,24,919,0,9,-0.8660254037844385,-0.5000000000000004,4.4457,2691.45
4571.55,355,878,1,2,0.49999999999999994,0.8660254037844387,-0.9806,4526.72
482.2,163,862,1,8,-0.4999999999999997,-0.8660254037844388,3.6399,499.75
2706.69,326,554,0,11,-0.8660254037844386,0.5000000000000001,1.1697,2738.35
51.77,248,246,0,2,0.49999999999999994,0.8660254037844387,3.3408,53.5
810.21,284,651,1,11,-0.8660254037844386,0.5000000000000001,1.4674,822.1
316.38,278,1341,0,2,0.49999999999999994,0.8660254037844387,2.2862,323.62
250.23,71,639,0,11,-0.8660254037844386,0.5000000000000001,1.8779,254.93
281.07,133,75,0,10,-1.0,-1.8369701987210297e-16,4.177,292.81
719.35,170,547,0,2,0.49999999999999994,0.8660254037844387,0.7818,724.98
845.26,182,904,2,9,-0.8660254037844385,-0.5000000000000004,2.2328,864.13
192.31,16,1091,1,2,0.49999999999999994,0.8660254037844387,-0.7774,190.81
316.24,200,979,0,7,1.2246467991473532e-16,-1.0,6.8592,337.93
149.84,56,906,2,12,-0.5000000000000004,0.8660254037844384,-2.3483,146.32
735.09,272,253,0,3,0.8660254037844386,0.5000000000000001,1.8664,748.81
74.06,249,687,0,3,0.8660254037844386,0.5000000000000001,1.9928,75.54
243.82,337,49,0,6,0.49999999999999994,-0.8660254037844387,3.5099,252.38
5000.0,272,1005,1,5,0.8660254037844387,-0.4999999999999998,1.0076,5050.38
4996.3,134,839,1,1,0.0,1.0,-1.2203,4935.32
521.61,354,753,1,6,0.49999999999999994,-0.8660254037844387,7.3388,559.89
167.85,150,1008,0,4,1.0,6.123233995736766e-17,0.7181,169.05
863.17,119,1143,0,2,0.49999999999999994,0.8660254037844387,1.7692,878.44
407.59,331,429,0,4,1.0,6.123233995736766e-17,3.0261,419.92
60.18,135,1076,2,1,0.0,1.0,-0.9914,59.58
5000.0,27,787,0,11,-0.8660254037844386,0.5000000000000001,0.257,5012.85
221.47,171,860,1,12,-0.5000000000000004,0.8660254037844384,3.2922,228.76
311.2,291,859,1,5,0.8660254037844387,-0.4999999999999998,7.1617,333.49
441.02,69,350,0,11,-0.8660254037844386,0.5000000000000001,0.827,444.67
2422.05,169,294,0,6,0.49999999999999994,-0.8660254037844387,3.294,2501.83
1471.55,47,89,0,11,-0.8660254037844386,0.5000000000000001,-0.3585,1466.28
98.34,251,340,1,3,0.8660254037844386,0.5000000000000001,5.8471,104.09
1696.68,174,1670,3,4,1.0,6.123233995736766e-17,0.8645,1711.35
2172.4,120,146,0,9,-0.8660254037844385,-0.5000000000000004,3.6305,2251.27
1678.26,83,1668,3,3,0.8660254037844386,0.5000000000000001,-1.5258,1652.65
113.85,206,1350,0,10,-1.0,-1.8369701987210297e-16,3.2313,117.53
508.81,245,396,0,6,0.49999999999999994,-0.8660254037844387,7.5349,547.15
2534.88,344,1025,2,5,0.8660254037844387,-0.4999999999999998,3.9818,2635.81
118.43,159,955,2,6,0.49999999999999994,-0.8660254037844387,4.7047,124.0
564.43,58,618,0,10,-1.0,-1.8369701987210297e-16,2.4523,578.28
1060.92,304,739,1,1,0.0,1.0,-0.0869,1060.0
878.46,230,775,2,10,-1.0,-1.8369701987210297e-16,1.537,891.96
86.21,256,1114,1,10,-1.0,-1.8369701987210297e-16,3.2933,89.05
165.65,35,727,1,10,-1.0,-1.8369701987210297e-16,1.9256,168.84
520.19,114,317,0,12,-0.5000000000000004,0.8660254037844384,0.5883,523.25
117.72,281,596,0,10,-1.0,-1.8369701987210297e-16,3.5199,121.87
292.21,304,1547,1,7,1.2246467991473532e-16,-1.0,9.4231,319.74
437.91,159,1483,0,6,0.49999999999999994,-0.8660254037844387,5.2367,460.85
40.0,294,135,0,5,0.8660254037844387,-0.4999999999999998,4.9462,41.98
553.3,308,883,0,10,-1.0,-1.8369701987210297e-16,6.386,588.64
5000.0,141,1462,0,5,0.8660254037844387,-0.4999999999999998,2.2547,5112.74
265.05,328,327,0,7,1.2246467991473532e-16,-1.0,5.2039,278.85
127.48,105,145,0,2,0.49999999999999994,0.8660254037844387,0.6407,128.3
129.02,87,353,0,4,1.0,6.123233995736766e-17,-0.0783,128.92
480.17,249,507,0,4,1.0,6.123233995736766e-17,3.0733,494.93
531.3,233,1751,2,6,0.49999999999999994,-0.8660254037844387,7.7408,572.43
2505.47,51,626,1,7,1.2246467991473532e-16,-1.0,5.1233,2633.83
871.34,304,528,0,9,-0.8660254037844385,-0.5000000000000004,5.9416,923.12
265.9,73,423,0,6,0.49999999999999994,-0.8660254037844387,5.3551,280.14
273.92,294,615,0,2,0.49999999999999994,0.8660254037844387,3.2695,282.88
840.58,2,1703,1,7,1.2246467991473532e-16,-1.0,1.7948,855.67
117.92,291,256,1,1,0.0,1.0,3.7082,122.29
351.66,288,886,1,11,-0.8660254037844386,0.5000000000000001,1.4358,356.71
200.54,285,1118,1,10,-1.0,-1.8369701987210297e-16,5.7156,212.01
415.11,243,219,0,3,0.8660254037844386,0.5000000000000001,1.1286,419.79
451.79,172,109,0,4,1.0,6.123233995736766e-17,1.3587,457.93
3355.91,258,1475,0,1,0.0,1.0,2.4606,3438.48
133.36,101,436,0,5,0.8660254037844387,-0.4999999999999998,6.503,142.03
2866.52,285,398,0,1,0.0,1.0,2.9668,2951.56
553.04,203,699,1,12,-0.5000000000000004,0.8660254037844384,1.4682,561.16
1083.71,167,150,0,2,0.49999999999999994,0.8660254037844387,-0.0147,1083.55
714.34,185,470,1,8,-0.4999999999999997,-0.8660254037844388,4.9068,749.39
1685.87,208,80,0,7,1.2246467991473532e-16,-1.0,5.7646,1783.06
1110.67,13,823,0,3,0.8660254037844386,0.5000000000000001,-2.7952,1079.62
48.86,51,815,1,10,-1.0,-1.8369701987210297e-16,1.8217,49.75
258.24,89,444,0,2,0.49999999999999994,0.8660254037844387,-1.2142,255.11
5000.0,41,1382,0,11,-0.8660254037844386,0.5000000000000001,0.0317,5001.59
352.34,160,489,0,9,-0.8660254037844385,-0.5000000000000004,1.8908,359.01
1752.7,244,225,1,8,-0.4999999999999997,-0.8660254037844388,0.6891,1764.78
2168.96,239,190,0,11,-0.8660254037844386,0.5000000000000001,-0.8743,2150.0
277.74,172,1538,2,5,0.8660254037844387,-0.4999999999999998,2.8746,285.72
2830.35,312,1199,3,4,1.0,6.123233995736766e-17,3.0983,2918.04
254.33,206,628,1,2,0.49999999999999994,0.8660254037844387,0.046,254.44
45.2,28,405,0,12,-0.5000000000000004,0.8660254037844384,-1.4494,44.55
1059.43,279,477,1,5,0.8660254037844387,-0.4999999999999998,4.2136,1104.07
2175.13,210,659,0,10,-1.0,-1.8369701987210297e-16,3.1733,2244.15
471.61,232,1437,2,4,1.0,6.123233995736766e-17,5.4994,497.54
116.77,206,974,0,12,-0.5000000000000004,0.8660254037844384,3.9522,121.38
999.34,202,1133,0,11,-0.8660254037844386,0.5000000000000001,0.8694,1008.03
1114.38,33,105,0,4,1.0,6.123233995736766e-17,-1.0394,1102.79
1090.72,204,978,1,6,0.49999999999999994,-0.8660254037844387,5.5388,1151.13
308.34,290,1522,2,10,-1.0,-1.8369701987210297e-16,2.3151,315.48
220.86,111,339,0,3,0.8660254037844386,0.5000000000000001,0.7139,222.43
666.86,220,893,0,1,0.0,1.0,-0.9864,660.28
83.33,11,141,1,4,1.0,6.123233995736766e-17,-1.9032,81.74
3291.44,127,1551,1,8,-0.4999999999999997,-0.8660254037844388,5.5105,3472.82
88.44,159,1241,1,2,0.49999999999999994,0.8660254037844387,1.984,90.19
508.04,359,952,0,5,0.8660254037844387,-0.4999999999999998,4.9122,533.0
2866.98,78,978,1,12,-0.5000000000000004,0.8660254037844384,-1.3271,2828.93
656.61,101,1328,2,1,0.0,1.0,2.0729,670.22
1644.23,149,660,0,1,0.0,1.0,-0.7247,1632.31
189.25,363,1452,0,6,0.49999999999999994,-0.8660254037844387,8.0225,204.43
320.62,312,355,0,1,0.0,1.0,3.1397,330.69
1639.24,12,1225,0,1,0.0,1.0,1.1474,1658.05
3609.9,85,1232,1,3,0.8660254037844386,0.5000000000000001,-0.9427,3575.87
1193.95,300,1264,0,2,0.49999999999999994,0.8660254037844387,0.3594,1198.24
110.03,21,148,0,10,-1.0,-1.8369701987210297e-16,-0.8252,109.12
91.52,313,693,0,2,0.49999999999999994,0.8660254037844387,4.2387,95.4
2961.6,102,1424,2,7,1.2246467991473532e-16,-1.0,6.0036,3139.4
726.53,335,1164,1,9,-0.8660254037844385,-0.5000000000000004,6.1825,771.44
126.16,107,1047,0,8,-0.4999999999999997,-0.8660254037844388,4.1037,131.34
514.83,158,1105,1,8,-0.4999999999999997,-0.8660254037844388,6.2344,546.93
71.55,242,370,0,5,0.8660254037844387,-0.4999999999999998,4.0673,74.46
92.73,46,1339,1,11,-0.8660254037844386,0.5000000000000001,-0.0483,92.69
3741.89,203,928,1,1,0.0,1.0,-0.1772,3735.26
800.9,184,1458,0,2,0.49999999999999994,0.8660254037844387,0.8555,807.76
152.37,286,1072,3,11,-0.8660254037844386,0.5000000000000001,1.0839,154.02
3116.82,364,827,0,1,0.0,1.0,3.9359,3239.5
5000.0,243,1017,1,3,0.8660254037844386,0.5000000000000001,0.9263,5046.31
3793.18,149,1313,0,3,0.8660254037844386,0.5000000000000001,-0.7422,3765.03
2001.29,148,1452,1,1,0.0,1.0,1.0595,2022.49
4694.84,152,896,0,2,0.49999999999999994,0.8660254037844387,-0.768,4658.78
123.96,297,840,0,7,1.2246467991473532e-16,-1.0,5.496,130.78
2176.96,117,124,0,8,-0.4999999999999997,-0.8660254037844388,3.6415,2256.24
221.86,61,716,3,1,0.0,1.0,-2.6036,216.08
63.28,122,1117,0,12,-0.5000000000000004,0.8660254037844384,1.2769,64.08
50.61,8,662,1,2,0.49999999999999994,0.8660254037844387,-0.6493,50.28
110.72,38,680,0,9,-0.8660254037844385,-0.5000000000000004,2.6862,113.7
2003.44,32,1028,1,10,-1.0,-1.8369701987210297e-16,-0.0382,2002.68
2718.1,282,368,0,7,1.2246467991473532e-16,-1.0,1.2356,2751.69
78.01,264,620,1,6,0.49999999999999994,-0.8660254037844387,5.279,82.12
1971.67,255,377,2,2,0.49999999999999994,0.8660254037844387,2.1117,2013.3
1958.85,169,1163,0,3,0.8660254037844386,0.5000000000000001,2.8379,2014.43
61.04,262,785,0,11,-0.8660254037844386,0.5000000000000001,3.1015,62.94
1206.73,59,473,2,5,0.8660254037844387,-0.4999999999999998,1.5298,1225.19
60.22,329,912,0,1,0.0,1.0,4.2612,62.79
128.09,183,253,0,9,-0.8660254037844385,-0.5000000000000004,2.6549,131.49
682.66,343,1181,0,9,-0.8660254037844385,-0.5000000000000004,7.6176,734.67
3026.71,55,551,1,1,0.0,1.0,-1.4838,2981.8
66.09,182,584,2,1,0.0,1.0,0.0034,66.1
308.78,254,1504,1,2,0.49999999999999994,0.8660254037844387,4.6105,323.02
826.72,181,1223,1,1,0.0,1.0,-2.3536,807.26
1738.8,163,1036,0,8,-0.4999999999999997,-0.8660254037844388,2.764,1786.86
3803.69,60,921,0,2,0.49999999999999994,0.8660254037844387,0.6471,3828.3
439.83,139,802,0,8,-0.4999999999999997,-0.8660254037844388,5.6996,464.9
2041.96,87,324,0,3,0.8660254037844386,0.5000000000000001,2.3857,2090.68
767.57,110,482,0,12,-0.5000000000000004,0.8660254037844384,-3.2636,742.52
164.49,250,1668,1,9,-0.8660254037844385,-0.5000000000000004,6.4894,175.16
921.21,230,1382,0,5,0.8660254037844387,-0.4999999999999998,2.9087,948.01
237.9,222,1102,0,6,0.49999999999999994,-0.8660254037844387,6.6358,253.69
1631.2,132,1339,0,1,0.0,1.0,0.5532,1640.22
215.85,351,1215,0,1,0.0,1.0,4.6496,225.88
154.06,32,626,0,7,1.2246467991473532e-16,-1.0,3.4931,159.44
4668.96,125,1086,0,1,0.0,1.0,1.7912,4752.59
4005.55,43,1140,0,8,-0.4999999999999997,-0.8660254037844388,1.8141,4078.21
311.79,124,246,0,5,0.8660254037844387,-0.4999999999999998,2.8793,320.77
2254.65,352,1560,1,2,0.49999999999999994,0.8660254037844387,2.4101,2308.99
5000.0,134,1166,2,7,1.2246467991473532e-16,-1.0,5.7184,5285.92
66.33,332,673,1,7,1.2246467991473532e-16,-1.0,7.6839,71.42
820.74,181,841,1,9,-0.8660254037844385,-0.5000000000000004,3.7849,851.81
152.37,256,901,2,3,0.8660254037844386,0.5000000000000001,3.3243,157.43
1862.77,167,529,0,7,1.2246467991473532e-16,-1.0,5.8009,1970.82
81.12,97,1017,1,11,-0.8660254037844386,0.5000000000000001,2.2805,82.97
2570.05,279,1497,0,4,1.0,6.123233995736766e-17,2.3302,2629.94
115.5,354,639,0,11,-0.8660254037844386,0.5000000000000001,4.9862,121.25
337.28,96,357,0,9,-0.8660254037844385,-0.5000000000000004,2.8358,346.84
2571.03,285,1153,0,6,0.49999999999999994,-0.8660254037844387,5.011,2699.86
57.75,95,587,1,11,-0.8660254037844386,0.5000000000000001,0.038,57.77
3888.11,262,826,0,12,-0.5000000000000004,0.8660254037844384,2.4399,3982.98
112.82,288,505,1,3,0.8660254037844386,0.5000000000000001,3.4883,116.75
418.89,164,539,2,12,-0.5000000000000004,0.8660254037844384,-1.5457,412.41
1291.68,269,411,0,1,0.0,1.0,-0.7251,1282.32
77.52,99,563,0,2,0.49999999999999994,0.8660254037844387,3.8865,80.53
1076.37,29,1436,0,1,0.0,1.0,0.8207,1085.2
598.65,35,1022,0,5,0.8660254037844387,-0.4999999999999998,2.8679,615.81
806.1,163,1279,3,12,-0.5000000000000004,0.8660254037844384,0.5923,810.88
858.56,330,357,1,8,-0.4999999999999997,-0.8660254037844388,3.8943,892.0
254.07,46,215,1,8,-0.4999999999999997,-0.8660254037844388,1.9682,259.07
175.74,166,543,0,2,0.49999999999999994,0.8660254037844387,1.5341,178.44
140.09,257,1462,1,7,1.2246467991473532e-16,-1.0,7.7235,150.91
3080.91,74,302,1,5,0.8660254037844387,-0.4999999999999998,-1.0879,3047.4
367.47,264,1160,0,6,0.49999999999999994,-0.8660254037844387,4.6482,384.55
215.39,111,1240,0,4,1.0,6.123233995736766e-17,1.494,218.61
52.52,295,449,0,3,0.8660254037844386,0.5000000000000001,4.6638,54.97
1261.09,211,215,0,12,-0.5000000000000004,0.8660254037844384,0.1943,1263.54
502.38,200,658,2,7,1.2246467991473532e-16,-1.0,2.6797,515.84
90.18,64,306,1,5,0.8660254037844387,-0.4999999999999998,1.902,91.9
3906.71,169,1273,0,1,0.0,1.0,-0.1351,3901.44
4405.93,313,1310,2,10,-1.0,-1.8369701987210297e-16,0.6542,4434.75
3360.43,7,1024,0,6,0.49999999999999994,-0.8660254037844387,4.2091,3501.88
502.19,277,175,0,5,0.8660254037844387,-0.4999999999999998,3.7583,521.06
351.2,180,1674,2,9,-0.8660254037844385,-0.5000000000000004,5.6069,370.89
111.26,263,1215,2,2,0.49999999999999994,0.8660254037844387,-0.1941,111.05
336.67,242,1352,1,7,1.2246467991473532e-16,-1.0,6.5401,358.69
791.98,158,598,0,11,-0.8660254037844386,0.5000000000000001,-0.628,787.0
116.62,112,574,2,6,0.49999999999999994,-0.8660254037844387,7.0659,124.86
527.69,229,1472,1,1,0.0,1.0,-1.1261,521.75
523.16,51,219,1,3,0.8660254037844386,0.5000000000000001,1.9059,533.13
1209.41,213,311,0,1,0.0,1.0,0.2677,1212.65
57.52,34,268,0,7,1.2246467991473532e-16,-1.0,3.1137,59.31
2291.18,237,388,1,5,0.8660254037844387,-0.4999999999999998,3.7468,2377.03
442.65,230,1191,2,2,0.49999999999999994,0.8660254037844387,-0.253,441.53
664.21,30,615,1,9,-0.8660254037844385,-0.5000000000000004,2.6977,682.13
5000.0,277,1451,0,3,0.8660254037844386,0.5000000000000001,4.0402,5202.01
136.34,152,1612,1,5,0.8660254037844387,-0.4999999999999998,4.4045,142.35
2464.38,288,290,0,12,-0.5000000000000004,0.8660254037844384,1.3031,2496.49
2547.94,15,1252,0,1,0.0,1.0,1.8439,2594.92
3720.8,65,101,0,3,0.8660254037844386,0.5000000000000001,0.0948,3724.33
263.81,180,461,0,4,1.0,6.123233995736766e-17,1.8749,268.76
97.8,68,1198,1,7,1.2246467991473532e-16,-1.0,5.5661,103.24
41.59,120,345,0,3,0.8660254037844386,0.5000000000000001,0.8481,41.95
1485.2,241,158,0,12,-0.5000000000000004,0.8660254037844384,-0.6611,1475.38
80.85,52,705,2,1,0.0,1.0,-0.0106,80.84
224.44,248,1155,1,12,-0.5000000000000004,0.8660254037844384,0.6977,226.01
4168.39,37,367,0,7,1.2246467991473532e-16,-1.0,2.2764,4263.28
323.23,64,403,0,1,0.0,1.0,0.6128,325.21
121.99,215,532,1,2,0.49999999999999994,0.8660254037844387,4.2914,127.23
2053.99,290,1328,0,2,0.49999999999999994,0.8660254037844387,3.1895,2119.5
211.88,62,1338,0,4,1.0,6.123233995736766e-17,0.5837,213.11
691.87,109,1217,0,4,1.0,6.123233995736766e-17,0.7518,697.07
70.39,338,74,0,8,-0.4999999999999997,-0.8660254037844388,8.2852,76.22
351.03,362,474,1,4,1.0,6.123233995736766e-17,2.8377,360.99
97.75,212,1326,0,9,-0.8660254037844385,-0.5000000000000004,3.2799,100.95
1888.46,163,851,0,4,1.0,6.123233995736766e-17,1.1029,1909.29
191.3,126,105,0,4,1.0,6.123233995736766e-17,3.1656,197.35
180.92,224,407,0,4,1.0,6.123233995736766e-17,3.6473,187.52
5000.0,216,1248,0,4,1.0,6.123233995736766e-17,4.168,5208.4
3128.41,107,1778,2,11,-0.8660254037844386,0.5000000000000001,0.0588,3130.25
619.57,8,664,0,3,0.8660254037844386,0.5000000000000001,-1.8732,607.97
3224.28,55,265,0,4,1.0,6.123233995736766e-17,-2.3773,3147.63
95.37,350,157,0,12,-0.5000000000000004,0.8660254037844384,1.159,96.48
595.01,153,465,1,8,-0.4999999999999997,-0.8660254037844388,3.7033,617.05
4519.24,176,1208,0,3,0.8660254037844386,0.5000000000000001,0.0609,4521.99
892.96,170,1692,2,11,-0.8660254037844386,0.5000000000000001,2.5858,916.05
177.87,286,563,1,3,0.8660254037844386,0.5000000000000001,1.1825,179.97
2835.14,23,1467,0,2,0.49999999999999994,0.8660254037844387,-3.0612,2748.35
114.84,30,1505,1,6,0.49999999999999994,-0.8660254037844387,3.6724,119.05
126.37,100,1482,0,9,-0.8660254037844385,-0.5000000000000004,5.5891,133.43
1758.12,178,1424,2,3,0.8660254037844386,0.5000000000000001,3.1318,1813.18
69.72,245,1131,2,10,-1.0,-1.8369701987210297e-16,1.1907,70.55
78.09,179,1474,0,2,0.49999999999999994,0.8660254037844387,4.7394,81.79
318.31,161,1167,1,10,-1.0,-1.8369701987210297e-16,3.3089,328.84
374.07,343,1256,0,2,0.49999999999999994,0.8660254037844387,2.4156,383.11
410.07,58,631,0,6,0.49999999999999994,-0.8660254037844387,4.5764,428.83
1415.03,209,629,1,8,-0.4999999999999997,-0.8660254037844388,5.9735,1499.56
755.1,198,1195,2,4,1.0,6.123233995736766e-17,-0.185,753.7
1302.79,173,640,0,8,-0.4999999999999997,-0.8660254037844388,3.6193,1349.94
54.36,295,637,1,9,-0.8660254037844385,-0.5000000000000004,4.3048,56.7
245.61,97,1280,1,8,-0.4999999999999997,-0.8660254037844388,5.2076,258.4
4865.02,349,934,0,5,0.8660254037844387,-0.4999999999999998,7.24,5217.25
333.43,121,703,1,10,-1.0,-1.8369701987210297e-16,2.2925,341.08
118.17,199,552,1,9,-0.8660254037844385,-0.5000000000000004,3.6258,122.45
5000.0,190,1009,1,4,1.0,6.123233995736766e-17,2.9083,5145.42
288.45,311,749,3,9,-0.8660254037844385,-0.5000000000000004,3.4185,298.31
382.08,160,391,0,12,-0.5000000000000004,0.8660254037844384,-2.4423,372.75
113.27,104,368,0,10,-1.0,-1.8369701987210297e-16,3.166,116.85
1158.65,7,1010,0,9,-0.8660254037844385,-0.5000000000000004,3.3314,1197.25
119.7,133,649,0,10,-1.0,-1.8369701987210297e-16,4.8158,125.46
764.01,302,543,0,10,-1.0,-1.8369701987210297e-16,1.9373,778.81
1387.75,3,508,2,4,1.0,6.123233995736766e-17,-0.2961,1383.64
751.6,327,125,0,9,-0.8660254037844385,-0.5000000000000004,6.3637,799.43
80.33,198,1130,1,3,0.8660254037844386,0.5000000000000001,6.5841,85.61
89.03,51,1454,0,5,0.8660254037844387,-0.4999999999999998,4.6247,93.15
2262.26,110,517,0,12,-0.5000000000000004,0.8660254037844384,1.2737,2291.07
4220.89,202,1467,1,4,1.0,6.123233995736766e-17,1.0636,4265.78
97.8,115,1084,1,11,-0.8660254037844386,0.5000000000000001,0.2427,98.04
245.85,39,487,0,6,0.49999999999999994,-0.8660254037844387,4.7509,257.53
1111.07,243,1150,2,3,0.8660254037844386,0.5000000000000001,-1.5339,1094.03
1896.23,246,233,0,2,0.49999999999999994,0.8660254037844387,0.7772,1910.97
3126.79,43,536,0,7,1.2246467991473532e-16,-1.0,4.8121,3277.25
1471.99,102,1115,0,6,0.49999999999999994,-0.8660254037844387,5.0747,1546.69
115.16,89,1389,1,7,1.2246467991473532e-16,-1.0,5.7842,121.83
1481.22,241,366,0,1,0.0,1.0,0.4964,1488.57
3411.9,267,1474,1,4,1.0,6.123233995736766e-17,2.5072,3497.44
265.49,266,926,0,1,0.0,1.0,5.6916,280.6
408.17,343,378,0,4,1.0,6.123233995736766e-17,5.8356,431.99
129.8,281,1615,2,12,-0.5000000000000004,0.8660254037844384,3.4486,134.28
246.64,117,1327,0,2,0.49999999999999994,0.8660254037844387,1.6785,250.78
2482.93,39,441,0,9,-0.8660254037844385,-0.5000000000000004,0.5887,2497.55
54.71,224,198,0,1,0.0,1.0,2.9358,56.32
1508.46,335,459,0,7,1.2246467991473532e-16,-1.0,5.0176,1584.14
87.1,356,1146,0,12,-0.5000000000000004,0.8660254037844384,4.0169,90.59
138.13,84,134,0,5,0.8660254037844387,-0.4999999999999998,3.5872,143.09
662.41,86,604,1,3,0.8660254037844386,0.5000000000000001,0.5918,666.33
42.87,13,510,0,7,1.2246467991473532e-16,-1.0,5.8184,45.36
810.55,51,69,0,4,1.0,6.123233995736766e-17,-1.6563,797.12
222.25,203,1000,1,11,-0.8660254037844386,0.5000000000000001,2.5733,227.97
1933.76,200,1218,0,11,-0.8660254037844386,0.5000000000000001,5.4088,2038.36
3820.12,135,388,1,8,-0.4999999999999997,-0.8660254037844388,3.9288,3970.2
423.35,113,1484,1,8,-0.4999999999999997,-0.8660254037844388,3.9362,440.01
69.87,303,1432,0,8,-0.4999999999999997,-0.8660254037844388,8.3007,75.67
3209.43,168,1312,0,9,-0.8660254037844385,-0.5000000000000004,3.7713,3330.46
197.22,295,1096,0,6,0.49999999999999994,-0.8660254037844387,8.8656,214.71
92.69,352,697,0,12,-0.5000000000000004,0.8660254037844384,4.6647,97.01
2468.62,116,341,0,5,0.8660254037844387,-0.4999999999999998,0.9311,2491.6
184.25,74,1600,1,1,0.0,1.0,0.803,185.73
868.9,348,995,1,9,-0.8660254037844385,-0.5000000000000004,5.5658,917.26
152.86,232,703,0,8,-0.4999999999999997,-0.8660254037844388,6.5603,162.88
1281.84,106,808,2,12,-0.5000000000000004,0.8660254037844384,-0.3486,1277.37
840.25,227,362,0,5,0.8660254037844387,-0.4999999999999998,4.5224,878.25
539.45,188,1047,2,6,0.49999999999999994,-0.8660254037844387,4.6982,564.8
788.55,331,1386,1,7,1.2246467991473532e-16,-1.0,4.9601,827.67
143.91,93,860,0,5,0.8660254037844387,-0.4999999999999998,3.3232,148.69
49.24,362,620,0,10,-1.0,-1.8369701987210297e-16,4.8175,51.62
1581.83,342,202,0,6,0.49999999999999994,-0.8660254037844387,4.8842,1659.09
3206.64,66,1013,2,10,-1.0,-1.8369701987210297e-16,0.0191,3207.25
1543.02,60,358,0,6,0.49999999999999994,-0.8660254037844387,4.1106,1606.45
1234.89,195,770,2,3,0.8660254037844386,0.5000000000000001,-0.6977,1226.27
345.94,16,262,0,12,-0.5000000000000004,0.8660254037844384,-3.8118,332.75
